Timestamp,Machine_ID,Operation_Mode,Attack_Type,Vibration_X,Vibration_Y,Vibration_Z,Temperature_Sensor,Current_Sensor,Spindle_Speed,Extruder_Temp,Feed_Rate,Anomaly_Label
2024-01-01 08:00:00,3DPrinter,Normal,None,0.094,0.136,0.154,225.05,1.63,,207.37,48.29,0
2024-01-01 08:00:05,3DPrinter,Normal,None,0.104,0.034,0.112,214.94,1.89,,205.46,45.76,0
2024-01-01 08:00:10,CNC,Normal,None,0.136,0.182,0.339,71.18,2.25,1748.46,,77.6,0
2024-01-01 08:00:15,3DPrinter,Normal,None,0.197,0.09,0.233,219.93,1.48,,214.11,46.34,0
2024-01-01 08:00:20,3DPrinter,Normal,None,0.289,0.18,0.151,224.41,1.5,,202.08,52.32,0
2024-01-01 08:00:25,3DPrinter,Normal,None,0.123,0.137,0.052,221.62,1.68,,206.62,51.84,0
2024-01-01 08:00:30,3DPrinter,Normal,None,0.179,0.164,0.185,223.77,1.74,,206.88,45.48,0
2024-01-01 08:00:35,3DPrinter,Normal,None,0.205,0.065,0.08,224.06,2.21,,209.64,53.01,0
2024-01-01 08:00:40,CNC,Normal,None,0.248,0.196,0.265,71.01,3.55,1707.96,,78.41,0
2024-01-01 08:00:45,3DPrinter,Normal,None,0.147,0.124,0.125,220.46,1.2,,208.9,51.07,0
2024-01-01 08:00:50,3DPrinter,Normal,None,0.111,0.157,0.129,217.87,1.95,,215.79,50.77,0
2024-01-01 08:00:55,3DPrinter,Normal,None,0.166,0.125,0.188,216.49,1.7,,208.04,45.61,0
2024-01-01 08:01:00,3DPrinter,Attack,Data_Spoofing,0.367,0.467,0.53,278.55,4.14,,299.17,70.64,1
2024-01-01 08:01:05,3DPrinter,Attack,Data_Spoofing,0.399,0.463,0.546,270.41,3.99,,300.3,77.39,1
2024-01-01 08:01:10,CNC,Normal,None,0.213,0.122,0.12,68.74,2.34,1799.26,,83.07,0
2024-01-01 08:01:15,3DPrinter,Attack,Parameter_Tamper,0.443,0.49,0.505,287.01,3.58,,302.93,76.57,1
2024-01-01 08:01:20,CNC,Normal,None,0.145,0.205,0.279,72.62,2.2,1763.45,,82.6,0
2024-01-01 08:01:25,3DPrinter,Normal,None,0.089,0.074,0.217,216.08,1.7,,214.07,46.31,0
2024-01-01 08:01:30,3DPrinter,Attack,Parameter_Tamper,0.568,0.577,0.534,278.97,3.57,,305.95,73.9,1
2024-01-01 08:01:35,CNC,Attack,Malware,0.539,0.568,0.674,87.96,3.89,2529.31,,117.14,1
2024-01-01 08:01:40,3DPrinter,Normal,None,0.159,0.059,0.192,226.63,2.02,,205.23,47.75,0
2024-01-01 08:01:45,3DPrinter,Attack,Malware,0.443,0.498,0.571,284.11,4.57,,298.77,67.74,1
2024-01-01 08:01:50,3DPrinter,Normal,None,0.194,0.108,0.2,222.69,2.62,,210.47,45.78,0
2024-01-01 08:01:55,3DPrinter,Attack,Parameter_Tamper,0.498,0.396,0.574,278.88,4.21,,302.37,69.78,1
2024-01-01 08:02:00,3DPrinter,Attack,Malware,0.477,0.489,0.602,278.29,3.72,,297.44,72.13,1
2024-01-01 08:02:05,CNC,Normal,None,0.186,0.078,0.171,70.17,1.74,1835.78,,82.24,0
2024-01-01 08:02:10,CNC,Normal,None,0.113,0.237,0.223,68.19,2.32,1825.72,,80.1,0
2024-01-01 08:02:15,3DPrinter,Normal,None,0.194,0.149,0.197,224.77,2.0,,208.42,52.28,0
2024-01-01 08:02:20,CNC,Normal,None,0.192,0.08,0.157,68.4,1.48,1835.73,,78.34,0
2024-01-01 08:02:25,3DPrinter,Normal,None,0.154,0.096,0.194,220.32,1.48,,206.42,52.04,0
2024-01-01 08:02:30,CNC,Normal,None,0.347,0.269,0.255,72.49,2.21,1844.21,,84.19,0
2024-01-01 08:02:35,3DPrinter,Normal,None,0.119,0.08,0.134,222.52,2.06,,204.0,49.0,0
2024-01-01 08:02:40,CNC,Normal,None,0.202,0.027,0.226,73.8,2.35,1965.14,,74.69,0
2024-01-01 08:02:45,CNC,Normal,None,0.309,0.229,0.11,71.33,2.51,1707.31,,79.76,0
2024-01-01 08:02:50,3DPrinter,Normal,None,0.085,0.115,0.04,213.5,2.26,,216.62,49.61,0
2024-01-01 08:02:55,3DPrinter,Normal,None,0.127,0.178,0.141,215.09,1.94,,211.0,48.2,0
2024-01-01 08:03:00,3DPrinter,Normal,None,0.182,0.126,0.045,226.4,1.62,,220.56,52.06,0
2024-01-01 08:03:05,3DPrinter,Normal,None,0.154,0.134,0.109,218.96,1.65,,207.05,52.55,0
2024-01-01 08:03:10,CNC,Normal,None,0.247,0.242,0.185,71.74,1.95,1887.68,,82.21,0
2024-01-01 08:03:15,3DPrinter,Attack,Data_Spoofing,0.464,0.449,0.556,286.39,3.82,,302.74,69.39,1
